order_id,line_num,tiempo_key,cliente_key,sucursal_key,producto_key,canal_key,metodo_pago_key,promocion_key,cantidad,precio_unitario,importe_bruto,descuento_importe,importe_neto,cancelado_flag,cupon_aplicado_flag
P000007,1,245,8,1,9,1,1,3,3,52.75,158.25,0.0,158.25,0,1
P000008,1,307,4,3,10,1,2,1,2,117.64,235.28,0.0,235.28,0,0
P000008,2,307,4,3,1,1,2,1,2,52.7,105.4,0.0,105.4,0,0
P000002,1,337,6,5,9,1,3,1,1,50.27,50.27,0.0,50.27,0,0
P000009,1,344,10,1,10,1,1,3,3,109.46,328.38,0.0,328.38,0,1
P000010,1,356,5,4,3,1,2,1,3,47.91,143.73,0.0,143.73,0,0
P000010,2,356,5,4,9,1,2,1,3,48.41,145.23,0.0,145.23,0,0
P000010,3,356,5,4,3,1,1,1,2,49.2,98.4,0.0,98.4,0,0
P000004,1,421,8,1,8,1,1,1,3,46.49,139.47,0.0,139.47,0,0
P000004,2,421,8,1,9,1,3,1,1,47.04,47.04,0.0,47.04,0,0
P000004,3,421,8,1,9,1,1,1,1,49.6,49.6,0.0,0.0,1,0
P000006,1,451,10,4,2,1,2,1,1,53.17,53.17,0.0,53.17,0,0
P000005,1,458,7,3,4,1,1,1,3,71.75,215.25,0.0,215.25,0,0
P000005,2,458,7,3,10,1,2,1,3,135.07,405.21,0.0,0.0,1,0
P000005,3,458,7,3,6,1,2,1,1,35.55,35.55,0.0,0.0,1,0
P000003,1,500,2,2,5,1,3,4,3,79.17,237.51,0.0,237.51,0,1
P000003,2,500,2,2,10,1,2,1,1,121.9,121.9,0.0,121.9,0,0
P000001,1,528,1,2,6,1,2,1,3,29.61,88.83,0.0,88.83,0,0
P000001,2,528,1,2,4,1,2,1,3,73.33,219.99,0.0,219.99,0,0
P000001,3,528,1,2,6,1,2,1,2,36.81,73.62,0.0,73.62,0,0
A000003,1,210,7,2,3,2,2,1,3,56.92,170.76,0.0,170.76,0,0
A000003,2,210,7,2,3,2,3,3,3,60.75,182.25,0.0,182.25,0,1
A000002,1,429,7,4,7,2,3,1,1,32.53,32.53,0.0,32.53,0,0
A000002,2,429,7,4,1,2,2,1,3,58.87,176.60999999999999,0.0,176.60999999999999,0,0
A000002,3,429,7,4,3,2,2,5,2,54.78,109.56,0.0,109.56,0,1
A000001,1,404,3,3,5,2,3,1,3,70.44,211.32,0.0,211.32,0,0
A000001,2,404,3,3,8,2,2,1,2,48.04,96.08,0.0,96.08,0,0
A000001,3,404,3,3,10,2,2,3,2,122.19,244.38,0.0,244.38,0,1
A000003,1,210,7,2,6,2,3,1,1,36.24,36.24,0.0,36.24,0,0
A000012,1,279,7,1,8,2,3,1,3,52.44,157.32,0.0,157.32,0,0
A000012,2,279,7,1,5,2,3,1,2,71.11,142.22,0.0,142.22,0,0
A000012,3,279,7,1,10,2,2,1,1,127.2,127.2,0.0,127.2,0,0
A000004,1,288,2,4,6,2,3,1,3,35.42,106.26,0.0,106.26,0,0
A000010,1,316,8,1,1,2,3,4,3,56.83,170.49,0.0,170.49,0,1
A000010,2,316,8,1,8,2,2,1,2,48.63,97.26,0.0,97.26,0,0
A000010,3,316,8,1,9,2,3,1,2,46.25,92.5,0.0,92.5,0,0
A000007,1,333,9,3,10,2,2,5,3,109.83,329.49,0.0,329.49,0,1
A000007,2,333,9,3,8,2,2,5,3,52.11,156.32999999999998,0.0,156.32999999999998,0,1
A000001,1,404,3,3,7,2,2,1,3,36.11,108.33,0.0,108.33,0,0
A000001,2,404,3,3,1,2,2,1,3,53.7,161.10000000000002,0.0,0.0,1,0
A000001,3,404,3,3,7,2,2,1,1,36.74,36.74,0.0,36.74,0,0
A000002,1,429,7,4,9,2,3,4,1,52.25,52.25,0.0,52.25,0,1
A000005,1,454,9,3,9,2,3,1,3,49.79,149.37,0.0,149.37,0,0
A000008,1,467,1,3,7,2,2,3,3,33.75,101.25,0.0,101.25,0,1
A000008,2,467,1,3,1,2,3,3,1,60.68,60.68,0.0,60.68,0,1
A000006,1,477,2,3,1,2,3,1,3,48.96,146.88,0.0,146.88,0,0
A000006,2,477,2,3,1,2,2,3,2,52.84,105.68,0.0,105.68,0,1
A000006,3,477,2,3,3,2,2,4,3,56.19,168.57,0.0,168.57,0,1
A000009,1,481,8,1,7,2,2,1,2,37.34,74.68,0.0,74.68,0,0
A000009,2,481,8,1,3,2,2,3,3,61.85,185.55,0.0,185.55,0,1
A000011,1,501,8,2,7,2,3,1,3,34.95,104.85000000000001,0.0,104.85000000000001,0,0
A000011,2,501,8,2,5,2,2,1,2,65.67,131.34,0.0,131.34,0,0
